HVQ_039_04_000001	>>> ČY BẢN KHOA HỌC XÃ HÒI VIĚT NĂM VIÉN KHÃO CÒ HỌC HÙNG VƯƠNG DÚNG NUC TÅP IV (KÝ YÉU CĆA HOI NGHỊ NGHIÉN CĆU THỜI KỲ HÙNG VƯƠNG LÀN THĆ 4, THÁNG 4 NÄM 1971 2G1-IÓN YH SdbCS TÔNG KÊT 3 NÄM 3 NĂM NGHIÈN CĆU THI KỲ HÜNG VƯƠNG 3 NÄM XAY DỰNG NGANH KHẢO CÒ HỌC PHẠM HUY THÓNG HÚNG ta quyét tăm mě hi nghị tōng két san 3 năm, vi nhăn thúre dire său såc răng phrong chām nghièn ciru khoa học -- dăe bięt khon học xā hěi - dă drge Hăng dè ra: « thiét thre, tàp trung, dut dièm », lá dúng dăn và hièu nghișm.
HVQ_039_04_000002	Văn dè è day, la có quyșt tăm lăm vięe dút dièm hay khóng.
HVQ_039_04_000003	Cách day 3 năm, chúng ta dā dè ra cho 3 năm qua nhéng mue tièu phăn dáu nhát dinh; nen chúng ta tháy còn nèn dè ra cho 3 năm tói, trong khung khò cùa ké hoach Nhà nróc 3 năm 1971 - 1973, mól só nhéng muc tièu phăn dău khác, thì chúng ta phăi kièm dièm nghiém túc viče dà làm drge vá vięc chura làm duge trong 3 nām qua.
HVQ_039_04_000004	Dă dành giá nhūng phuong chám nói trèn là tót, cu thè trong gič phút náy là phurong chám « dút dièm», thi chúng ta phãi quyet tam theo do mà Lám, quyët tám thát sy.
HVQ_039_04_000005	Ti nay, chúng ta dă phǎi dăn tranh, dáu trunh vói nhau.
HVQ_039_04_000006	mói bwe dựng di lèn.
HVQ_039_04_000007	Dán tranh thuring suyén dè thanh tám doàn két høp tác, dë nghièn ciru khoa hoe nghiém túc và kièn tri: dău tranh dè tăp trung súe lye, thi gio, nghièn cúru ván dè Hùng Vrong drng nure lá chinh, suót 3 năm qua; dău tranh dè làm vięc theo ké hoach, dè dút dim, ngày nay.
HVQ_039_04_000008	Chinh vi phăi dău tranh, chú khóng phãi bâng phâng, tron tru mà chúng ta càng tháy rō phǎi khǎe phue cho due Iói lam ăn tăn man, tuy tięn, it két quù trurére dáy.
HVQ_039_04_000009	Qun tranh tuán yà thiyc nghițm.
HVQ_039_04_000010	chúng ta ngáy cáng tháy rō: khóng thè có cóng hién khoa hoe dáng kè něn cón giã nép làm vie cu, phăn ánh cùa np săn xuất cá thè trong līnh ve khoa học. .. 14 HĆNG VƯƠNG DļNG NUC (IV) mt dè tài; chúng ta, thàt ra đā chon gia hai chů truong: đem khão cò he phue vu vic nghièn cu ljch s, hay tip tue khai qut và thǎo báo cáo khai qut khǎo cè boc, nhu ván làm true dó môt thời gian dài.
HVQ_039_04_000011	True dò, chua nghī dúng vè ngày nhièm vu, chre näng và lě tòn tại cúa khão cǒ học, chúng ta còn mác cà mòt loat lěch lae khác.
HVQ_039_04_000012	Thài dò dái vi di vat lịch sửúr và vǎn hóa, vè dánh giá chát luçng cóng tác vá phàm chát cán hě, vè nhán thirc cái dúng cái sai, vè tát cà nhung dièu áy, chúng ta dèu chua nhát tri.
HVQ_039_04_000013	Toi khóng nhác lai day nhng cái khòng hay dā xáy ra trên cổ sò mt tỉnh hình như váy, nhǔng cóng súrc bò ra khóng mang vě két quà trong xúng.
